"filename","species","filesize"
"157513",1,1294
"157534",1,1244
"157545",1,1627
"157609",1,1367
"157825",1,2087
"158675",1,1769
"159062",1,1574
"159516",1,2514
"159560",1,1629
"159648",1,1322
"159896",1,1228
"160085",1,1534
"160208",1,1127
"160572",1,1155
"16099",1,1625
"16369",1,1296
"16425",1,1192
"16965",1,1051
"17196",1,1033
"17522",1,1885
"17551",1,1354
"17554",1,1383
"17813",1,1652
"17922",1,984
"17940",1,1321
"17976",1,1885
"18070",1,1007
"18186",1,1727
"18210",1,915
"18345",1,1209
"18428",1,1098
"18534",1,943
"18598",1,1875
"18727",1,1180
"18965",1,1935
"1958",1,1558
"19720",1,1790
"1975",1,1916
"20018",1,1243
"20084",1,2289
"20206",1,2624
"20741",1,960
"20801",1,16214
"2094",1,971
"21143",1,1510
"21192",1,2189
"21269",1,1490
"21277",1,4158
"21337",1,2551
"21459",1,913
"21542",1,1553
"21560",1,1381
"2172",1,2459
"21858",1,2008
"21900",1,1037
"22090",1,1879
"22261",1,895
"22291",1,1016
"22544",1,2836
"22878",1,1490
"23380",1,1882
"23447",1,1393
"23465",1,1027
"23477",1,2656
"23485",1,973
"23571",1,1102
"23652",1,21394
"23661",1,1913
"23736",1,1503
"23930",1,1749
"24013",1,1891
"2441",1,1183
"2450",1,1124
"24646",1,712
"24780",1,1094
"25007",1,1063
"25130",1,1771
"25374",1,1205
"25564",1,1383
"25642",1,829
"25689",1,930
"26268",1,2131
"26302",1,899
"26390",1,1053
"26721",1,1375
"26861",1,934
"27063",1,2118
"27700",1,812
"27987",1,608
"28560",1,1699
"28858",1,1303
"28971",1,1145
"29128",1,787
"29498",1,1549
"29529",1,1621
"29684",1,3378
"29846",1,1424
"29953",1,1401
"30329",1,1244
"3047",1,817
"30622",1,1824
"3068",1,1269
"30755",1,1291
"31719",1,1798
"32112",1,1615
"32173",1,1251
"32348",1,953
"32371",1,1515
"32374",1,2116
"32433",1,1005
"32612",1,1805
"337",1,1410
"33948",1,1925
"34147",1,968
"34181",1,1571
"34581",1,1493
"34639",1,1783
"34689",1,767
"34738",1,1394
"35191",1,1713
"35692",1,822
"36274",1,2046
"36438",1,1595
"36462",1,2182
"36630",1,1266
"36669",1,1052
"36684",1,1785
"36695",1,1066
"37206",1,1919
"3721",1,2781
"3733",1,876
"37343",1,1414
"38197",1,2341
"38282",1,1014
"38408",1,2193
"38446",1,1662
"38523",1,1621
"38585",1,1623
"39141",1,1017
"39267",1,1544
"39293",1,1365
"39458",1,765
"39726",1,2425
"39828",1,686
"39975",1,1273
"40023",1,1624
"40540",1,1530
"40858",1,1082
"41024",1,1685
"41115",1,1955
"41243",1,1152
"41261",1,2609
"41857",1,1975
"42050",1,1893
"42206",1,1806
"42255",1,956
"42364",1,926
"42458",1,1848
"42522",1,2477
"42628",1,2463
"43009",1,1908
"43544",1,1126
"4362",1,1789
"43755",1,1553
"44278",1,1082
"44419",1,1194
"44477",1,2475
"44601",1,1555
"44603",1,1806
"44658",1,895
"44980",1,1375
"45174",1,1540
"4521",1,1385
"45432",1,714
"45736",1,1317
"45848",1,1899
"46295",1,799
"46411",1,1093
"46766",1,896
"47043",1,1416
"47110",1,1152
"47266",1,1834
"47719",1,1255
"48026",1,919
"48305",1,1409
"48726",1,1506
"49207",1,1795
"49338",1,915
"49381",1,1567
"49575",1,1219
"49591",1,847
"4960",1,2891
"49616",1,863
"49840",1,2195
"49890",1,2322
"49899",1,1295
"49912",1,1809
"50018",1,824
"50191",1,1098
"50393",1,1287
"50424",1,1038
"50425",1,677
"50596",1,1829
"51535",1,979
"51831",1,1456
"51929",1,1867
"5262",1,2213
"52671",1,1581
"52759",1,1117
"5336",1,1519
"53385",1,2029
"5373",1,2988
"53854",1,1885
"54070",1,1648
"54131",1,898
"54282",1,1936
"54722",1,1468
"54839",1,875
"54966",1,1446
"55240",1,1977
"55359",1,1403
"55672",1,1667
"55714",1,1683
"5575",1,1523
"55912",1,1533
"56247",1,1631
"56515",1,3787
"56713",1,1201
"56752",1,1825
"57093",1,921
"57178",1,1827
"57243",1,1771
"57330",1,2056
"57355",1,2035
"57488",1,1708
"58169",1,1082
"58325",1,626
"58381",1,1468
"58407",1,1427
"58432",1,1444
"58589",1,2994
"58997",1,1573
"59138",1,1144
"59143",1,1019
"59172",1,1337
"59206",1,2287
"5925",1,1380
"59630",1,847
"59752",1,2293
"59810",1,942
"60011",1,1443
"60144",1,1406
"60354",1,2757
"60478",1,1212
"60622",1,1703
"60785",1,1241
"60786",1,1860
"60793",1,1815
"60799",1,8657
"6109",1,1438
"61129",1,1435
"6123",1,1354
"61281",1,2098
"6139",1,1491
"61413",1,2049
"6164",1,1320
"61769",1,864
"61820",1,1827
"6188",1,1223
"61890",1,1336
"620",1,1378
"62260",1,2175
"62337",1,1528
"62543",1,1426
"62932",1,2282
"62973",1,1046
"63073",1,5742
"63074",1,1211
"635",1,984
"63736",1,1922
"63779",1,1149
"63921",1,3003
"63948",1,1606
"63971",1,1564
"64",1,1576
"64016",1,947
"64051",1,590
"64195",1,1403
"64297",1,1553
"64312",1,1356
"64486",1,1736
"64666",1,1844
"64679",1,2606
"64704",1,1444
"64766",1,960
"64823",1,1374
"6491",1,3309
"65172",1,1192
"65198",1,1001
"65274",1,1747
"65947",1,1431
"66255",1,8429
"66484",1,1198
"66647",1,1797
"67526",1,2544
"67529",1,1387
"67568",1,2051
"67889",1,1360
"6795",1,705
"67972",1,1816
"68016",1,1536
"68442",1,1563
"68499",1,1708
"68531",1,1642
"689",1,1334
"6890",1,1156
"68911",1,2082
"68914",1,1005
"6894",1,2577
"69113",1,980
"69309",1,2710
"69319",1,1353
"69328",1,975
"69338",1,1937
"69411",1,1629
"69537",1,1778
"69571",1,1350
"69637",1,1567
"6987",1,1830
"69890",1,904
"69979",1,1851
"70016",1,736
"70075",1,1718
"70154",1,683
"70485",1,1721
"7071",1,2170
"70941",1,704
"71302",1,2212
"71346",1,749
"71561",1,834
"71866",1,1002
"71929",1,2376
"72011",1,862
"72328",1,1789
"72451",1,1853
"72486",1,730
"72538",1,1466
"72640",1,1321
"72655",1,931
"72726",1,1315
"72729",1,1335
"73207",1,1628
"73425",1,1705
"73440",1,807
"73514",1,1022
"73949",1,784
"74054",1,2055
"74148",1,1226
"74224",1,1360
"74261",1,1648
"74344",1,1193
"74668",1,2356
"74863",1,1597
"74882",1,1544
"75138",1,2213
"7516",1,1585
"75220",1,2052
"75289",1,1195
"75638",1,1415
"75642",1,1803
"76049",1,2523
"76061",1,974
"7629",1,900
"7639",1,1255
"76404",1,1129
"76730",1,1695
"76772",1,975
"76933",1,1097
"76975",1,1719
"77011",1,1238
"77086",1,1838
"77285",1,2201
"77386",1,1801
"77409",1,1686
"77608",1,2471
"77731",1,864
"77758",1,982
"77844",1,2487
"77847",1,1413
"78588",1,1560
"78674",1,1791
"78815",1,1069
"78974",1,1441
"78984",1,1117
"79244",1,1472
"79447",1,1362
"79624",1,1413
"79690",1,1833
"7972",1,897
"79816",1,1725
"80096",1,2764
"80410",1,1291
"80412",1,1081
"8046",1,2131
"80502",1,708
"80900",1,1741
"81727",1,1818
"81807",1,1802
"82017",1,1426
"82095",1,1877
"8261",1,1180
"82625",1,1056
"82772",1,1725
"82882",1,1982
"83240",1,1107
"83565",1,1846
"83638",1,1755
"83662",1,1797
"83665",1,1338
"83820",1,2999
"8383",1,1474
"83846",1,1394
"83961",1,1039
"84059",1,1264
"8408",1,1302
"84277",1,856
"84351",1,1375
"84358",1,1487
"84549",1,1266
"84693",1,1626
"85238",1,1606
"85970",1,778
"86026",1,1341
"86082",1,1817
"86130",1,2048
"8615",1,1887
"86151",1,2114
"86160",1,1108
"86404",1,1923
"8667",1,1306
"86696",1,734
"8683",1,1372
"86946",1,1466
"8715",1,940
"87209",1,1383
"87316",1,1737
"87546",1,1844
"87568",1,898
"87821",1,2743
"87966",1,1725
"88110",1,1409
"88129",1,1697
"88487",1,1349
"88584",1,1623
"88673",1,1000
"88804",1,2108
"89013",1,1609
"89052",1,1438
"89121",1,3044
"8914",1,1858
"89315",1,2315
"89557",1,1315
"89584",1,897
"90025",1,747
"90115",1,843
"90414",1,1762
"90654",1,1766
"90678",1,1167
"907",1,2360
"9113",1,1465
"91624",1,693
"91740",1,1335
"91813",1,1110
"91920",1,1719
"92091",1,1411
"92140",1,1275
"92143",1,1419
"92450",1,1976
"92490",1,1288
"92503",1,1429
"9265",1,1015
"92690",1,1505
"9283",1,1902
"92963",1,1727
"93385",1,1278
"93419",1,723
"93430",1,1397
"93614",1,2677
"93641",1,1661
"93855",1,1894
"94044",1,1364
"94289",1,1300
"94294",1,1753
"94661",1,2125
"94694",1,2199
"95207",1,2095
"95437",1,2185
"9558",1,1972
"9570",1,1560
"95730",1,1333
"95865",1,1040
"9598",1,2003
"96252",1,1135
"96496",1,1026
"9675",1,721
"96781",1,1725
"97056",1,1362
"97096",1,1188
"97212",1,1307
"97277",1,1928
"97687",1,2804
"97700",1,2594
"97738",1,1267
"97910",1,1397
"98207",1,1458
"98497",1,1949
"98674",1,1652
"98775",1,1235
"99077",1,1736
"99636",1,2187
"99850",1,921
"99862",1,2406
"99938",1,751
"105690",2,4131
"111204",2,4748
"120576",2,2948
"128686",2,1978
"13857",2,5898
"141853",2,4775
"159427",2,1286
"16803",2,2320
"29759",2,4584
"34340",2,2716
"36700",2,2367
"48916",2,6286
"55072",2,3647
"101229",3,2451
"105275",3,1738
"106066",3,1322
"107771",3,1644
"108086",3,2350
"110726",3,1398
"111506",3,2080
"113512",3,2174
"114952",3,1414
"115347",3,2338
"119298",3,2128
"120279",3,1183
"129496",3,1919
"130349",3,1511
"13218",3,2276
"134933",3,1664
"135313",3,1085
"141766",3,2006
"143854",3,1441
"146250",3,1458
"146745",3,2251
"148628",3,2021
"150127",3,1536
"15149",3,1717
"155306",3,2328
"156749",3,1786
"160671",3,1773
"18149",3,1777
"18910",3,1493
"24928",3,1142
"2546",3,1982
"28240",3,1800
"31451",3,1200
"31718",3,2161
"33442",3,2663
"35910",3,2180
"38302",3,1336
"39570",3,1498
"40955",3,1404
"42682",3,2273
"44748",3,891
"45841",3,1016
"46815",3,2217
"48261",3,1717
"484",3,2087
"4844",3,3084
"48949",3,1197
"56222",3,2089
"58600",3,1171
"60966",3,2627
"61199",3,2107
"6463",3,1452
"65660",3,1369
"68619",3,2635
"69385",3,2150
"70739",3,1301
"74727",3,1635
"75279",3,2241
"7587",3,1928
"79775",3,1089
"80426",3,1746
"81911",3,1750
"8732",3,1968
"88629",3,1201
"89703",3,2079
"90944",3,1081
"90980",3,1126
"93079",3,2464
"96002",3,2716
"96972",3,2594
"97004",3,1084
"10494",4,1394
"107942",4,1809
"109887",4,1682
"111811",4,2788
"121079",4,1788
"125053",4,3678
"128698",4,1639
"130066",4,1325
"131382",4,2443
"133009",4,2327
"133542",4,1657
"134747",4,1012
"138757",4,1681
"141668",4,1594
"143201",4,1551
"147083",4,1003
"147588",4,2496
"150147",4,1070
"151393",4,1837
"158021",4,2648
"159170",4,2067
"15919",4,1807
"20230",4,3114
"21687",4,1489
"22289",4,1465
"23753",4,1082
"28461",4,3200
"29021",4,2872
"30718",4,2243
"34075",4,1028
"38209",4,1628
"45800",4,1611
"4661",4,2590
"46812",4,719
"48193",4,1655
"57419",4,5456
"60137",4,2483
"68054",4,2116
"69487",4,1936
"70694",4,1810
"73424",4,2103
"76920",4,2046
"77414",4,1850
"82466",4,1411
"83883",4,1678
"88717",4,2815
"90528",4,2058
"93095",4,2249
"93131",4,1862
"121965",5,900
"13746",5,1339
"139763",5,1095
"2544",5,772
"28634",5,794
"38919",5,921
"49760",5,826
"49962",5,1220
"56822",5,965
"73477",5,958
"79203",5,1334
"81365",5,881
"81932",5,815
"82383",5,974
"83027",5,1059
"88794",5,1582
"100074",6,1033
"100609",6,1030
"100660",6,1078
"100804",6,949
"100969",6,1549
"101074",6,979
"101121",6,1149
"101246",6,910
"101266",6,790
"101306",6,1031
"101393",6,1111
"101565",6,866
"101573",6,1029
"101811",6,1394
"101845",6,946
"101997",6,1328
"102387",6,983
"102646",6,1560
"102832",6,941
"102869",6,788
"102946",6,1565
"103393",6,1292
"103466",6,893
"103483",6,2393
"104065",6,885
"104109",6,920
"10420",6,778
"10447",6,902
"104483",6,859
"104737",6,1360
"105066",6,1391
"105091",6,1428
"105375",6,2158
"106527",6,956
"106587",6,875
"106886",6,1667
"107354",6,2052
"107667",6,1295
"107876",6,932
"107930",6,972
"108161",6,1031
"108333",6,820
"108561",6,948
"108575",6,826
"108698",6,998
"108836",6,832
"109108",6,1311
"110201",6,1213
"11061",6,1587
"110631",6,855
"11068",6,915
"111125",6,1707
"111249",6,857
"111938",6,870
"111966",6,1445
"112006",6,1732
"112597",6,1263
"113037",6,3076
"113071",6,1191
"113566",6,1319
"113658",6,1185
"113735",6,1674
"113842",6,3097
"113897",6,1117
"113921",6,3832
"114080",6,936
"114267",6,1137
"114301",6,1151
"114416",6,859
"114465",6,972
"114947",6,876
"11495",6,1204
"114972",6,929
"115075",6,941
"115527",6,1144
"115646",6,1078
"115744",6,803
"115773",6,1257
"11584",6,993
"115846",6,747
"115885",6,1117
"115907",6,1012
"116079",6,2658
"116166",6,859
"116567",6,966
"116774",6,1357
"116911",6,922
"116936",6,766
"116947",6,1264
"117352",6,1860
"117498",6,1156
"117755",6,918
"117858",6,780
"117897",6,1496
"118186",6,1050
"118225",6,1874
"118474",6,1320
"118493",6,970
"11865",6,974
"118728",6,1711
"119119",6,1440
"11935",6,1244
"119614",6,901
"119712",6,905
"119982",6,968
"120015",6,2089
"120079",6,1030
"120193",6,1014
"120234",6,847
"120275",6,1045
"120532",6,1029
"120661",6,1200
"121180",6,1170
"121515",6,803
"121883",6,1407
"122361",6,945
"122473",6,905
"122509",6,856
"122541",6,900
"122641",6,1092
"122977",6,1063
"123065",6,823
"12373",6,1192
"123858",6,1134
"123882",6,903
"124201",6,730
"124223",6,901
"124364",6,1053
"124671",6,750
"124742",6,1355
"124747",6,1151
"124865",6,807
"124910",6,968
"125190",6,854
"125246",6,1359
"126056",6,1241
"126118",6,1445
"126370",6,2823
"126556",6,900
"126699",6,1340
"126876",6,1004
"127313",6,1047
"127461",6,1190
"127808",6,912
"128328",6,974
"129007",6,961
"129055",6,1314
"129414",6,1113
"129701",6,885
"129832",6,1450
"12985",6,1255
"130058",6,983
"130071",6,1179
"130112",6,912
"130356",6,991
"130716",6,970
"130843",6,1787
"131008",6,972
"131185",6,1609
"13130",6,1048
"131498",6,880
"13158",6,886
"131729",6,832
"131993",6,1275
"132217",6,868
"132254",6,1060
"132406",6,1036
"132422",6,998
"13244",6,883
"13247",6,1081
"132478",6,1091
"132520",6,1137
"132846",6,1262
"132863",6,897
"132915",6,1958
"133026",6,959
"133056",6,1269
"133062",6,1205
"133239",6,1162
"133373",6,796
"133389",6,1486
"134175",6,932
"134251",6,881
"134299",6,945
"134469",6,1001
"134846",6,932
"135098",6,1237
"13543",6,777
"135446",6,1018
"135879",6,1478
"136311",6,947
"136524",6,1193
"137021",6,944
"137078",6,943
"137649",6,869
"137771",6,1950
"137899",6,745
"138064",6,835
"138183",6,1715
"138888",6,1998
"139128",6,847
"139458",6,1197
"139803",6,1333
"139837",6,995
"139902",6,1558
"140523",6,908
"140787",6,921
"141050",6,901
"1412",6,1109
"141333",6,1008
"141399",6,1303
"141457",6,930
"141721",6,770
"141733",6,1215
"142182",6,1081
"142475",6,1192
"142482",6,953
"142830",6,812
"143243",6,867
"143297",6,1021
"143651",6,956
"143978",6,903
"144285",6,1899
"144404",6,1368
"144607",6,826
"144860",6,1350
"145158",6,1395
"145334",6,1249
"145924",6,897
"145960",6,928
"14614",6,1113
"146290",6,1102
"146562",6,990
"146667",6,969
"146807",6,1136
"146986",6,1028
"147046",6,3159
"147340",6,843
"14784",6,970
"147998",6,1236
"148112",6,789
"148228",6,866
"148237",6,2592
"148622",6,838
"14873",6,875
"148848",6,1053
"14918",6,1337
"149217",6,792
"149275",6,1353
"149426",6,876
"149633",6,1188
"149726",6,1867
"150739",6,1185
"150778",6,889
"150874",6,1058
"150919",6,764
"151081",6,948
"151439",6,1491
"151946",6,722
"152031",6,1019
"152083",6,2148
"15221",6,823
"152291",6,865
"152414",6,795
"152582",6,846
"15276",6,1355
"152763",6,777
"153012",6,1104
"153134",6,1141
"153164",6,1279
"153800",6,1104
"154020",6,1019
"154191",6,1360
"15445",6,1031
"154744",6,905
"154807",6,901
"154857",6,854
"154862",6,948
"155558",6,752
"155666",6,1061
"155685",6,978
"156068",6,985
"156260",6,908
"15630",6,1194
"156515",6,1082
"156541",6,1014
"156748",6,817
"156758",6,973
"157246",6,878
"157372",6,1033
"157950",6,991
"158005",6,1053
"158340",6,974
"158394",6,868
"158756",6,1151
"158879",6,1073
"159405",6,930
"159479",6,1494
"159494",6,778
"159642",6,1474
"159847",6,940
"15999",6,1210
"160024",6,811
"160074",6,1103
"160183",6,869
"160434",6,1179
"160698",6,1044
"16210",6,911
"16450",6,788
"18415",6,860
"18736",6,933
"18947",6,945
"19099",6,1209
"19427",6,899
"19457",6,994
"19468",6,1158
"1984",6,890
"20394",6,1282
"20700",6,725
"20965",6,1125
"21225",6,1275
"213",6,1053
"21598",6,1254
"21712",6,1279
"21761",6,1207
"21848",6,820
"21974",6,962
"22410",6,890
"22479",6,1592
"22485",6,1230
"22864",6,3107
"23419",6,1764
"23578",6,1082
"23909",6,1557
"24294",6,1221
"24422",6,1126
"24560",6,998
"25035",6,791
"25252",6,1086
"25957",6,1187
"26091",6,878
"26613",6,849
"26865",6,882
"26921",6,1201
"27093",6,799
"27194",6,825
"27482",6,1371
"27635",6,1333
"27698",6,997
"27806",6,2708
"27842",6,851
"2799",6,783
"28230",6,898
"28306",6,2088
"29039",6,3258
"29252",6,963
"29392",6,1071
"29476",6,1283
"29726",6,1533
"29878",6,1135
"29894",6,1273
"29924",6,1521
"30188",6,947
"30315",6,1819
"31516",6,773
"31648",6,1781
"31741",6,791
"319",6,913
"3232",6,876
"32619",6,1374
"32750",6,750
"32803",6,1202
"32865",6,1176
"33680",6,699
"33809",6,1080
"34037",6,974
"34215",6,1906
"34304",6,1084
"34594",6,1339
"34759",6,1003
"349",6,967
"35333",6,874
"35367",6,1272
"35655",6,772
"3576",6,766
"35876",6,1158
"35944",6,1423
"35975",6,769
"36116",6,908
"36291",6,1138
"36419",6,1063
"36442",6,960
"36471",6,1096
"36587",6,954
"36972",6,1383
"37137",6,1082
"37290",6,831
"37975",6,1048
"37996",6,1158
"37997",6,1050
"38142",6,784
"38156",6,903
"38253",6,993
"38258",6,962
"38390",6,1067
"3846",6,977
"3856",6,1084
"38740",6,860
"39036",6,838
"39150",6,1044
"4",6,1152
"40149",6,1452
"40317",6,855
"40386",6,1010
"40532",6,1253
"40558",6,1080
"4057",6,1280
"4068",6,1168
"40891",6,3545
"41392",6,820
"41547",6,1202
"42221",6,1006
"42243",6,1643
"42501",6,3048
"42555",6,802
"42826",6,1237
"42924",6,1174
"43122",6,5592
"43560",6,1107
"43801",6,1358
"44006",6,741
"44471",6,825
"44792",6,911
"44941",6,1303
"45006",6,1064
"45137",6,1334
"45162",6,979
"45188",6,1238
"4580",6,2000
"45868",6,943
"46334",6,868
"46397",6,818
"46733",6,951
"46950",6,1784
"46980",6,1919
"47028",6,811
"47178",6,1242
"47202",6,1229
"4727",6,949
"47574",6,838
"47990",6,1384
"48123",6,1064
"48380",6,794
"48422",6,1069
"48576",6,1068
"48766",6,862
"48910",6,926
"49224",6,930
"4933",6,1164
"49454",6,920
"49855",6,1116
"49879",6,889
"50219",6,930
"50496",6,1109
"51829",6,1462
"51937",6,884
"51966",6,955
"52050",6,1088
"52090",6,1328
"52098",6,852
"52460",6,810
"53021",6,796
"53227",6,1021
"53779",6,747
"5397",6,832
"54644",6,1064
"54843",6,960
"55448",6,1377
"55731",6,1146
"55974",6,891
"56003",6,973
"56366",6,964
"56633",6,2609
"56678",6,1299
"56893",6,1393
"56957",6,1252
"57120",6,904
"57826",6,1030
"58105",6,1391
"58299",6,1798
"58418",6,976
"58591",6,1072
"58606",6,1708
"58881",6,1251
"59208",6,801
"59682",6,1057
"59780",6,951
"5980",6,830
"59940",6,2662
"59997",6,792
"60054",6,1245
"60460",6,788
"60494",6,908
"60654",6,924
"60819",6,1163
"60843",6,721
"60974",6,797
"60981",6,1244
"60999",6,1156
"61164",6,1480
"61240",6,1215
"61646",6,1028
"61736",6,1722
"61937",6,959
"62009",6,768
"62012",6,1129
"62142",6,1150
"62152",6,4854
"6219",6,1233
"6257",6,1045
"62860",6,1162
"62929",6,4865
"63078",6,1414
"63128",6,984
"63682",6,1013
"64457",6,1845
"64688",6,889
"64761",6,735
"64893",6,761
"65673",6,949
"66516",6,1187
"6668",6,930
"66744",6,765
"66886",6,892
"67142",6,1010
"67443",6,752
"67745",6,849
"67841",6,974
"67974",6,1026
"68001",6,826
"68029",6,784
"68103",6,1356
"68264",6,1308
"6848",6,2098
"68754",6,844
"69058",6,1411
"69060",6,797
"69181",6,1090
"69494",6,871
"69841",6,907
"70272",6,891
"70326",6,1217
"70348",6,963
"70989",6,912
"71040",6,1027
"711",6,1066
"71738",6,787
"71765",6,855
"71807",6,817
"71820",6,1429
"71900",6,1094
"72315",6,1722
"72374",6,732
